OBJECTID,CALL,LICENSEE,ULS_ID,Shape__Area,Shape__Length
1,KNKA200,CHICAGO SMSA LP,13170,27740429274,736271.3058
2,KNKA201,CELLCO PARTNERSHIP,13171,31984697353,867223.0277
3,KNKA202,PITTSBURGH SMSA LP,12424,26236782206,686765.278
4,KNKA203,UPSTATE CELLULAR NETWORK,12651,16657078642,537673.5486
5,KNKA204,CELLCO PARTNERSHIP,13196,28034721774,763248.7826
6,KNKA205,VERIZON WIRELESS (VAW) LLC,12936,30310587511,862851.8483
7,KNKA206,NEW YORK SMSA LP,13198,37679657758,1157961.228
8,KNKA207,UNITED STATES CELLULAR OPERATING COMPANY LLC,12618,27776545708,740172.9023
9,KNKA208,"NEW CINGULAR WIRELESS PCS, LLC",11538,22869800445,609261.6403
10,KNKA209,LOS ANGELES SMSA LP,12546,1.41323E+11,2193634.229
11,KNKA210,"NEW CINGULAR WIRELESS PCS, LLC",12430,18383805426,572365.6167
12,KNKA211,GTE MOBILNET OF CALIFORNIA LP,12154,13553631035,498104.8513
13,KNKA212,VERIZON WIRELESS (VAW) LLC,13094,36700464257,1118818.853
14,KNKA214,MILWAUKEE SMSA LP,11520,19087449908,545374.2399
15,KNKA215,SEATTLE SMSA LP,12372,41307197605,1012878.481
16,KNKA216,GTE MOBILNET OF INDIANA LP,12390,20041633346,593875.454
17,KNKA217,"NEW CINGULAR WIRELESS PCS, LLC",12062,32010936547,720045.8737
18,KNKA218,"NEW CINGULAR WIRELESS PCS, LLC",12433,33477276935,779941.794
19,KNKA219,VERIZON WIRELESS (VAW) LLC,11684,36787844994,914246.3567
20,KNKA220,VERIZON WIRELESS (VAW) LLC,12977,26777529781,834292.7392
21,KNKA221,GTE MOBILNET OF SOUTH TEXAS LP,12448,33430650339,855666.1364
22,KNKA222,"NEW CINGULAR WIRELESS PCS, LLC",11996,21610271538,582600.711
23,KNKA223,"NEW CINGULAR WIRELESS PCS, LLC",12457,23542715671,705161.7347
24,KNKA224,"NEW CINGULAR WIRELESS PCS, LLC",12459,17726628069,676401.4231
25,KNKA225,"NEW CINGULAR WIRELESS PCS, LLC",12170,22484665880,710913.9713
26,KNKA226,"NEW CINGULAR WIRELESS PCS, LLC",12925,34603881611,852716.3318
27,KNKA227,"ALLTEL COMMUNICATIONS, LLC",12465,14766590615,483624.76
28,KNKA228,GTE MOBILNET OF CALIFORNIA LP,12208,33793331962,1008735.754
29,KNKA229,"NEW CINGULAR WIRELESS PCS, LLC",13157,49957893380,874431.6239
30,KNKA230,CELLCO PARTNERSHIP,13195,21864824872,644768.8539
31,KNKA231,"NEW CINGULAR WIRELESS PCS, LLC",12946,34566179744,783421.0771
32,KNKA232,CELLCO PARTNERSHIP,13197,19286434794,612484.6067
33,KNKA233,CELLCO PARTNERSHIP,12088,13043484009,492245.9654
34,KNKA234,VERIZON WIRELESS (VAW) LLC,12453,27573019852,763879.8029
35,KNKA235,NEW PAR,11926,17695769154,563971.1337
36,KNKA236,VERIZON WIRELESS (VAW) LLC,13158,19076484202,620164.6618
37,KNKA237,CELLCO PARTNERSHIP,12095,17193805897,501863.972
38,KNKA238,SYRACUSE SMSA LP,12374,23112346878,654265.3944
39,KNKA239,"NEW CINGULAR WIRELESS PCS, LLC",11744,18791363848,546581.119
40,KNKA240,NEW PAR,12547,18545540235,699419.8943
41,KNKA241,"NEW CINGULAR WIRELESS PCS, LLC",13253,11047605153,400850.7966
42,KNKA242,"NEW CINGULAR WIRELESS PCS, LLC",12641,23017438093,640635.1708
43,KNKA243,"NEW CINGULAR WIRELESS PCS, LLC",12642,26601629310,652192.1774
44,KNKA244,NEW PAR,13166,34533097858,875470.4944
45,KNKA245,"NEW CINGULAR WIRELESS PCS, LLC",12085,11813456578,429433.731
46,KNKA246,CELLCO PARTNERSHIP,12711,27963191621,754209.3926
47,KNKA247,"NEW CINGULAR WIRELESS PCS, LLC",13057,26007397315,630933.681
48,KNKA248,"ALLTEL COMMUNICATIONS OF PETERSBURG, INC.",12501,23799642958,762062.8283
49,KNKA249,"NEW CINGULAR WIRELESS PCS, LLC",12057,15987650814,514762.6828
50,KNKA250,CELLCO PARTNERSHIP,12649,6472007821,316555.3061
51,KNKA251,CELLCO PARTNERSHIP,13192,7422600774,327696.9051
52,KNKA252,"NEW CINGULAR WIRELESS PCS, LLC",12260,14760976468,488197.8911
53,KNKA253,ORLANDO SMSA LP,12070,17507836348,565828.2143
54,KNKA254,"NEW CINGULAR WIRELESS PCS, LLC",13316,27327788144,724136.0999
55,KNKA255,"NEW CINGULAR WIRELESS PCS, LLC",12582,11262664280,445920.2191
56,KNKA256,"NEW CINGULAR WIRELESS PCS, LLC",11740,10764401358,416764.4886
57,KNKA257,"ALLTEL COMMUNICATIONS, LLC",13160,23383870130,668185.6429
58,KNKA258,"DALLAS MTA, L.P.",12443,6959920329,358906.0457
59,KNKA259,VERIZON WIRELESS (VAW) LLC,12193,24655712790,757386.2004
60,KNKA260,CELLCO PARTNERSHIP,12654,14541455118,472783.5113
61,KNKA261,"NEW CINGULAR WIRELESS PCS, LLC",12241,34396942458,757147.3106
62,KNKA262,"NEW CINGULAR WIRELESS PCS, LLC",12102,26104312532,666029.8038
63,KNKA263,"NEW CINGULAR WIRELESS PCS, LLC",12252,38736847565,963443.7426
64,KNKA264,"NEW CINGULAR WIRELESS PCS, LLC",12083,12821391267,482637.7051
65,KNKA265,"NEW CINGULAR WIRELESS PCS, LLC",12538,84571880467,1374457.02
66,KNKA266,CELLCO PARTNERSHIP,12020,10877256808,403287.7092
67,KNKA267,"ALLTEL COMMUNICATIONS OF PETERSBURG, INC.",12077,11028648366,403586.525
68,KNKA268,"NEW CINGULAR WIRELESS PCS, LLC",12661,13027367585,464557.0819
69,KNKA269,CHICAGO SMSA LP,11741,10612974610,404954.9492
70,KNKA270,"NEW CINGULAR WIRELESS PCS, LLC",11815,15990323610,519733.9756
71,KNKA271,"ALLTEL COMMUNICATIONS WIRELESS, INC.",11523,22028308875,643411.4172
72,KNKA272,VERIZON WIRELESS (VAW) LLC,12016,7567151577,372456.8011
73,KNKA273,SACRAMENTO VALLEY LP,12614,31962719850,1106262.767
74,KNKA274,"NEW CINGULAR WIRELESS PCS, LLC",13343,29652471021,867122.84
75,KNKA275,"ALLTEL COMMUNICATIONS, LLC",12949,16027549082,510607.196
76,KNKA276,"ALLTEL COMMUNICATIONS, LLC",12551,14505089022,525019.224
77,KNKA277,"NEW CINGULAR WIRELESS PCS, LLC",12545,28384752457,665383.7059
78,KNKA278,"ALLTEL COMMUNICATIONS, LLC",12478,18641386744,548770.0172
79,KNKA279,"NEW CINGULAR WIRELESS PCS, LLC",13055,15822738943,518593.3983
80,KNKA280,SEATTLE SMSA LP,12359,26921577569,668669.02
81,KNKA281,"ALLTEL COMMUNICATIONS, LLC",12031,10827821876,395953.2634
82,KNKA282,CELLCO PARTNERSHIP,13392,12043486732,484773.8658
83,KNKA283,"ALLTEL COMMUNICATIONS, LLC",12523,14983003185,632753.0821
84,KNKA284,"ALLTEL COMMUNICATIONS OF PETERSBURG, INC.",12267,9182478555,370137.2832
85,KNKA285,"NEW CINGULAR WIRELESS PCS, LLC",11772,18459154785,561663.7226
86,KNKA286,VERIZON WIRELESS (VAW) LLC,13318,21986420857,652564.9596
87,KNKA287,"NEW CINGULAR WIRELESS PCS, LLC",12058,21220875470,658760.9344
88,KNKA288,"NEW CINGULAR WIRELESS PCS, LLC",11770,20395468920,607686.2982
89,KNKA289,CHATTANOOGA MSA LP,12067,20322918088,543530.3959
90,KNKA290,ALLENTOWN SMSA LP,13151,15856414622,551388.2701
91,KNKA291,ALLTEL COMMUNICATIONS OF NORTH CAROLINA LP,12650,24552556518,698674.5436
92,KNKA292,"NEW CINGULAR WIRELESS PCS, LLC",12249,14349888375,510640.1018
93,KNKA293,"ALLTEL COMMUNICATIONS, LLC",12480,12780026808,449545.8644
94,KNKA294,"NEW CINGULAR WIRELESS PCS, LLC",12578,41007148747,913327.8775
95,KNKA295,OMAHA CELLULAR TELEPHONE COMPANY,12554,13446065661,504391.7151
96,KNKA296,OKLAHOMA CITY SMSA LP,12363,22117807725,690548.5352
97,KNKA297,"BELL ATLANTIC MOBILE OF ROCHESTER, LP",12496,30784752988,768903.0375
98,KNKA298,"NEW CINGULAR WIRELESS PCS, LLC",11682,5490837950,283934.5717
99,KNKA299,CHARLESTONCOMPANYNORTH CHARLESTON MSA LP,12236,19398496669,607302.7832
100,KNKA300,"ALLTEL COMMUNICATIONS WIRELESS, INC.",12620,20837905967,531397.365
101,KNKA301,FRESNO MSA LP,13068,24070921838,913266.5787
102,KNKA302,"NEW CINGULAR WIRELESS PCS, LLC",12477,17252667609,556833.6171
103,KNKA303,"ALLTEL COMMUNICATIONS SOUTHWEST HOLDINGS, INC.",12420,40272243619,1141638.357
104,KNKA304,"NEW CINGULAR WIRELESS PCS, LLC",11941,73628623502,1255836.465
105,KNKA305,"UNITED STATES CELLULAR OPERATING COMPANY OF GREATER OKLAHOMA, LLC",12812,36596642859,870852.1427
106,KNKA306,CELLCO PARTNERSHIP,12391,13027945229,541485.9006
107,KNKA307,CELLCO PARTNERSHIP,12638,18231621923,597102.0628
108,KNKA308,NEW PAR,12933,19729184742,577321.0391
109,KNKA309,"UNITED STATES CELLULAR TELEPHONE COMPANY (GREATER KNOXVILLE), L.P.",12688,17170939025,655658.378
110,KNKA310,"NEW CINGULAR WIRELESS PCS, LLC",13092,48714544661,1114856.299
111,KNKA311,"NEW CINGULAR WIRELESS PCS, LLC",12261,9847670684,396833.1118
112,KNKA312,NEW PAR,12255,10557041109,392173.2449
113,KNKA313,CELLCO PARTNERSHIP,13291,7747060610,377549.9743
114,KNKA314,"NEW CINGULAR WIRELESS PCS, LLC",12994,22905852459,605077.3026
115,KNKA315,VERIZON WIRELESS (VAW) LLC,12244,25204422185,621808.3034
116,KNKA316,ALLTEL COMMUNICATIONS OF NORTH CAROLINA LP,13032,20911152274,603671.8855
117,KNKA317,"NEW CINGULAR WIRELESS PCS, LLC",12494,35639166955,800447.3702
118,KNKA318,"NEW CINGULAR WIRELESS PCS, LLC",12186,14129865960,445626.7361
119,KNKA319,"NEW CINGULAR WIRELESS PCS, LLC",12258,6639872251,312328.6332
120,KNKA320,"NEW CINGULAR WIRELESS PCS, LLC",12481,9199033428,381228.0519
121,KNKA321,"ALLTEL COMMUNICATIONS SOUTHWEST HOLDINGS, INC.",11946,8019888739,391340.5888
122,KNKA322,"NEW CINGULAR WIRELESS PCS, LLC",12813,32316145570,812052.7813
123,KNKA323,"NEW CINGULAR WIRELESS PCS, LLC",11942,43424887446,1155686.206
124,KNKA324,VERIZON WIRELESS TENNESSEE PARTNERSHIP,13349,17676750443,516303.7026
125,KNKA325,VERIZON WIRELESS TENNESSEE PARTNERSHIP,13367,14937466746,455621.6944
126,KNKA326,NORTHEAST PENNSYLVANIA SMSA LP,12607,19931737097,578156.2101
127,KNKA327,CHARLESTONCOMPANYNORTH CHARLESTON MSA LP,12383,23303874476,704244.0438
128,KNKA328,LOS ANGELES SMSA LP,11877,12145138628,496402.1384
129,KNKA329,CELLCO PARTNERSHIP,11988,13083227628,520463.5775
130,KNKA330,"ALLTEL COMMUNICATIONS, LLC",12563,14286448158,538370.3553
131,KNKA331,CELLCO PARTNERSHIP,13132,11563135399,454372.3875
132,KNKA332,"ALLTEL COMMUNICATIONS SOUTHWEST HOLDINGS, INC.",12613,25999837395,756093.1987
133,KNKA333,NEW PAR,11929,18440157867,558510.3471
134,KNKA334,VERIZON WIRELESS TENNESSEE PARTNERSHIP,12253,25791582781,638545.6653
135,KNKA335,"NEW CINGULAR WIRELESS PCS, LLC",12264,25901893628,681878.7701
136,KNKA336,OMAHA CELLULAR TELEPHONE COMPANY,12512,13048636782,471571.4912
137,KNKA337,VERIZON WIRELESS (VAW) LLC,12976,20274009164,619235.485
138,KNKA338,"NEW CINGULAR WIRELESS PCS, LLC",12621,26239857429,633725.2455
139,KNKA339,"NEW CINGULAR WIRELESS PCS, LLC",12788,21796033349,602332.1833
140,KNKA340,"ALLTEL COMMUNICATIONS SOUTHWEST HOLDINGS, INC.",12135,38837237125,1279029.511
141,KNKA341,"NEW CINGULAR WIRELESS PCS, LLC",12768,35128660975,843854.4393
142,KNKA342,"NEW CINGULAR WIRELESS PCS, LLC",12254,21299189527,624051.2164
143,KNKA343,CELLCO PARTNERSHIP,12251,31041871707,812187.777
144,KNKA344,NEW PAR,11924,16228646271,540619.5534
145,KNKA345,"NEW CINGULAR WIRELESS PCS, LLC",12552,9736659808,430451.9914
146,KNKA346,VERIZON WIRELESS TENNESSEE PARTNERSHIP,12248,12712615862,482262.6419
147,KNKA347,"NEW CINGULAR WIRELESS PCS, LLC",12257,17507836348,565828.2143
148,KNKA348,"NEW CINGULAR WIRELESS PCS, LLC",12245,21711466973,722779.4292
149,KNKA349,NEW PAR,12215,12263641681,457373.9195
150,KNKA350,RCTC WHOLESALE CORPORATION,12256,16899844998,610450.0937
151,KNKA351,"NEW CINGULAR WIRELESS PCS, LLC",12514,1.6968E+11,2042582.38
152,KNKA352,"ALLTEL COMMUNICATIONS, LLC",13412,15500080253,617387.9733
153,KNKA353,"NEW CINGULAR WIRELESS PCS, LLC",12712,13794083910,476757.8556
154,KNKA354,VERIZON WIRELESS TENNESSEE PARTNERSHIP,12500,19825664569,625771.374
155,KNKA355,"NEW CINGULAR WIRELESS PCS, LLC",12263,14593078417,515763.1568
156,KNKA356,"NEW CINGULAR WIRELESS PCS, LLC",12592,29832587389,839877.4582
157,KNKA357,VERIZON WIRELESS (VAW) LLC,12749,12371121532,470352.7766
158,KNKA358,CELLCO PARTNERSHIP,12376,13840043342,463610.4961
159,KNKA359,"NEW CINGULAR WIRELESS PCS, LLC",12673,20050378739,538481.2587
160,KNKA360,CELLCO PARTNERSHIP,13282,19014185596,589480.8956
161,KNKA361,"ALLTEL COMMUNICATIONS, LLC",11726,9565304464,408622.9484
162,KNKA362,"NEW CINGULAR WIRELESS PCS, LLC",11516,12292184288,430986.1965
163,KNKA363,CELLCO PARTNERSHIP,12098,8246332799,400564.6712
164,KNKA364,"NEW CINGULAR WIRELESS PCS, LLC",12242,20708069981,701122.4962
165,KNKA365,NEW PAR,12600,17267702732,575926.3699
166,KNKA366,"NEW CINGULAR WIRELESS PCS, LLC",11940,43549933142,1293550.164
167,KNKA367,"NEW CINGULAR WIRELESS PCS, LLC",12914,35047434186,870581.9169
168,KNKA368,"SOUTHWESTCO WIRELESS, L.P.",12931,43867645319,1133696.199
169,KNKA369,"ALLTEL COMMUNICATIONS, LLC",13219,19761337381,598474.991
170,KNKA370,CELLCO PARTNERSHIP,12460,9484860118,393557.27
171,KNKA371,VERIZON WIRELESS (VAW) LLC,12534,21528823146,676494.5691
172,KNKA372,"NEW CINGULAR WIRELESS PCS, LLC",13036,17252667609,556833.6171
173,KNKA373,"NEW CINGULAR WIRELESS PCS, LLC",11866,11469757133,410081.8485
174,KNKA374,NEW PAR,12266,10162406296,408237.3886
175,KNKA375,NEW PAR,12132,15297648226,540102.9458
176,KNKA376,"NEW CINGULAR WIRELESS PCS, LLC",12250,53120458789,1306515.977
177,KNKA378,SACRAMENTO VALLEY LP,12279,8772785751,369557.4816
178,KNKA379,CELLCO PARTNERSHIP,12277,8378257182,365415.0554
179,KNKA380,"ALLTEL COMMUNICATIONS WIRELESS, INC.",12344,15793084067,495214.2489
180,KNKA381,GTE MOBILNET OF CALIFORNIA LP,12282,16817390708,574099.5202
181,KNKA382,"NEW CINGULAR WIRELESS PCS, LLC",12482,30917242248,761519.1522
182,KNKA383,"ALLTEL COMMUNICATIONS, LLC",12286,11033030728,421304.0787
183,KNKA384,"PUERTO RICO TELEPHONE COMPANY, INC.",12175,96426688.47,37016.83107
184,KNKA385,"ALLTEL COMMUNICATIONS WIRELESS, INC.",12766,22261553857,640012.2915
185,KNKA386,"NEW CINGULAR WIRELESS PCS, LLC",12247,15797549234,517960.755
186,KNKA387,"ALLTEL COMMUNICATIONS, LLC",12281,13568679661,473683.1091
187,KNKA388,"NEW CINGULAR WIRELESS PCS, LLC",12926,10515267229,408695.916
188,KNKA389,GTE MOBILNET OF SOUTH TEXAS LP,12273,15896640797,589171.2125
189,KNKA390,GTE MOBILNET OF CALIFORNIA LP,12294,28937260277,720938.9747
190,KNKA391,GTE MOBILNET OF FORT WAYNE LP,12781,18256910112,634243.7104
191,KNKA392,"NEW CINGULAR WIRELESS PCS, LLC",12290,14775835957,502835.6332
192,KNKA393,"ALLTEL COMMUNICATIONS, LLC",12605,18103973983,634299.6141
193,KNKA394,"NEW CINGULAR WIRELESS PCS, LLC",12289,13106023094,433440.3036
194,KNKA395,CELLCO PARTNERSHIP,12271,16794980522,594968.5431
195,KNKA396,CELLCO PARTNERSHIP,12278,12231764104,421762.9369
196,KNKA397,SACRAMENTO VALLEY LP,12298,13747212188,536951.588
197,KNKA398,"ALLTEL COMMUNICATIONS, LLC",12303,10165298546,363052.2899
198,KNKA400,"NEW CINGULAR WIRELESS PCS, LLC",12805,38384563616,800352.5173
199,KNKA401,FRESNO MSA LP,12304,22427152097,664486.3189
200,KNKA402,VERIZON WIRELESS (VAW) LLC,11728,12783736142,448060.3831
201,KNKA403,"NEW CINGULAR WIRELESS PCS, LLC",11787,23888667347,845966.518
